[01:41:07] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[01:41:07] [INIT] Loaded plugins:
[01:41:07] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[01:41:07] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[01:41:07] [INIT] - smartin.miapi.compat.kubejs.KubeJSMiapiPlugin
[01:41:09] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[01:41:09] [INFO] Loaded script startup_scripts:example.js in 0.133 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/xgene_manipulation.js in 0.027 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/x_ray_vision_ability.js in 0.014 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/wall_climb_move_condition.js in 0.002 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/wall_climb_condition.js in 0.001 s
[01:41:09] [INFO] addonpack_fsang_hero:kubejs_scripts/wall_climb.js#1: Loaded Java class 'net.minecraft.world.level.ClipContext'
[01:41:09] [INFO] addonpack_fsang_hero:kubejs_scripts/wall_climb.js#26: Loaded Java class 'net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket'
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/wall_climb.js in 0.013 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/tellraw_ability.js in 0.007 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/teleport_ability.js in 0.002 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/tactile_telekinesis_stun.js in 0.001 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_wraith_dna.js in 0.001 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_venom_dna.js in 0.001 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_toxin_dna.js in 0.001 s
[01:41:09] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_sleeper_dna.js in 0.001 s
